freq,unit,na_item,geo\TIME_PERIOD	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CP_MPPS_EU27_2020,P31_S14,EA12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2902201.3 	3053885.2 	3126258.0 	3253032.1 	3417332.3 	3625713.3 	3779114.1 	3887422.7 	4001421.9 	4138479.9 	4331727.0 	4530543.2 	4721505.8 	4860209.8 	4717493.6 	4852025.9 	4968403.9 	4992807.9 	5021483.1 	5081063.2 	5194260.0 	5319203.2 	5492981.5 	5651264.1 	5780946.4 	5323079.8 	5716546.9 	6451307.2 	6908509.7 	7177970.1 	: 
A,CP_MPPS_EU27_2020,P31_S14,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2965270.2 	3122219.1 	3198440.8 	3329125.5 	3496596.9 	3709881.3 	3869927.9 	3983889.4 	4105108.3 	4250154.4 	4453308.6 	4661833.2 	4866162.9 	5016391.2 	4864004.7 	5006114.7 	5127166.6 	5157074.4 	5187572.0 	5250433.4 	5367590.7 	5494428.4 	5675580.4 	5842767.8 	5980849.7 	5518458.8 	5929229.1 	6697688.5 	7175018.2 	7454922.6 	7727515.0 
A,CP_MPPS_EU27_2020,P31_S14,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2983914.9 	3142085.3 	3219994.5 	3350769.2 	3518104.9 	3732948.1 	3894584.4 	4011062.5 	4133807.1 	4280609.1 	4485712.0 	4696684.2 	4904001.0 	5056651.3 	4901552.7 	5043398.3 	5165909.8 	5196458.0 	5227081.5 	5289050.6 	5406817.8 	5534689.3 	5717756.5 	5886659.2 	6026930.9 	5561629.8 	5978539.8 	6753393.3 	7237151.6 	7520409.6 	7793600.5 
A,CP_MPPS_EU27_2020,P31_S14,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7894539.4 
A,CP_MPPS_EU27_2020,P31_S14,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4284.2 	4707.1 	5327.9 	5498.7 	5383.1 	5832.2 	6352.2 	7132.5 	7967.9 	8758.3 	9812.1 	10975.9 	12055.7 	12321.7 	10708.1 	11112.2 	11958.3 	12775.6 	13400.5 	13822.4 	14244.7 	14835.5 	15484.8 	16452.1 	17222.1 	16949.1 	18278.9 	20425.3 	21659.8 	22358.9 	23024.8 
A,CP_MPPS_EU27_2020,P31_S14,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90755.9 	95540.9 	98277.6 	103636.6 	106028.1 	109779.4 	118776.2 	127333.0 	132535.8 	139529.7 	145718.2 	151985.4 	157724.8 	169280.2 	163697.8 	153566.5 	145027.0 	136927.3 	138031.8 	138307.8 	137796.2 	136911.2 	142829.7 	147109.1 	151145.5 	140330.0 	151502.6 	176822.7 	188054.1 p	194311.7 p	203328.4 p
A,CP_MPPS_EU27_2020,P31_S14,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	325114.6 	341555.4 	355879.8 	375551.1 	395211.2 	427147.2 	453107.0 	478419.5 	495408.8 	526803.9 	565394.2 	618237.4 	659453.2 	672683.7 	631492.4 	640568.2 	641121.6 	643713.0 	635157.7 	654489.9 	673029.4 	691845.6 	730011.5 	743452.1 	760544.9 	654002.5 	736647.2 	838700.6 	912869.6 p	965343.1 p	1024187.7 p
A,CP_MPPS_EU27_2020,P31_S14,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3444803.7 	3633960.5 	3719872.0 	3868454.1 	4058304.3 	4303502.6 	4496230.9 	4643512.4 	4791486.7 	4988896.4 	5229907.4 	5483448.6 	5759145.7 	5982744.8 	5818085.8 	6014373.0 	6180880.5 	6237455.4 	6265372.9 	6350227.3 	6509036.3 	6662667.5 	6917079.1 	7151458.2 	7348485.5 	6848199.2 	7367494.9 	8297868.6 	8869626.4 	9252376.9 	9637855.8 
A,CP_MPPS_EU27_2020,P31_S14,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41008.7 	43206.8 	45107.2 	47642.3 	50085.1 	52775.9 	54364.1 	56334.5 	59046.5 	62842.9 	65216.2 	68548.5 	73164.7 	77697.9 	75877.7 	79056.3 	83085.8 	84069.9 	84129.8 	84940.6 	86857.4 	88230.6 	90260.6 	92544.6 	92932.0 	91032.2 	97420.4 	103533.7 	109399.5 	113846.5 	115675.8 
A,CP_MPPS_EU27_2020,P31_S14,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	542542.7 	570394.3 	579327.6 	605551.6 	632538.8 	682650.8 	724008.6 	746927.1 	749005.3 	772227.6 	825046.8 	860501.3 	900348.6 	922268.1 	903227.6 	942266.8 	966790.8 	963361.5 	991047.0 	999763.9 	1019869.8 	1041077.5 	1066127.1 	1104650.1 	1163151.4 	1096885.2 	1150057.6 	1242453.0 	1364758.8 	1406035.2 p	1452008.1 p
